,Year,Yearly Average Resale Flat Prices
0,1990-01-01,68086.14226309476
1,1991-01-01,73588.93893426683
2,1992-01-01,84372.6357305385
3,1993-01-01,132807.7197504968
4,1994-01-01,172619.5299359193
5,1995-01-01,212122.10322840704
6,1996-01-01,279282.3377530857
7,1997-01-01,308213.91854277527
8,1998-01-01,257637.9121636168
9,1999-01-01,252302.74052473088
10,2000-01-01,258056.8363341174
11,2001-01-01,243469.59989725397
12,2002-01-01,234834.02845116073
13,2003-01-01,231343.0078457401
14,2004-01-01,235169.37321379498
15,2005-01-01,234165.10774771177
16,2006-01-01,236079.49280453566
17,2007-01-01,262276.6086201912
18,2008-01-01,317141.8734091409
19,2009-01-01,337913.305578046
20,2010-01-01,379939.44006541575
21,2011-01-01,425382.29789910687
22,2012-01-01,461492.566305716
23,2013-01-01,476441.00791638193
24,2014-01-01,442716.0500316849
25,2015-01-01,434709.55795950507
26,2016-01-01,438838.9645589222
27,2017-01-01,443888.5205714564
28,2018-01-01,441282.06370344607
29,2019-01-01,432137.9129018299
30,2020-01-01,452279.38497064245
31,2021-01-01,511381.2390012721
32,2022-01-01,549664.72014329
33,2023-01-01,557061.6682598524
