,Year,Monthly Number of Resale Flats Sold
0,1990-01-01,1507
1,1990-02-01,931
2,1990-03-01,1150
3,1990-04-01,1047
4,1990-05-01,778
5,1990-06-01,824
6,1990-07-01,1405
7,1990-08-01,1078
8,1990-09-01,865
9,1990-10-01,810
10,1990-11-01,1090
11,1990-12-01,1020
12,1991-01-01,1253
13,1991-02-01,816
14,1991-03-01,854
15,1991-04-01,920
16,1991-05-01,945
17,1991-06-01,836
18,1991-07-01,1247
19,1991-08-01,1163
20,1991-09-01,1206
21,1991-10-01,1183
22,1991-11-01,1382
23,1991-12-01,1050
24,1992-01-01,1202
25,1992-02-01,954
26,1992-03-01,1113
27,1992-04-01,1067
28,1992-05-01,1140
29,1992-06-01,1059
30,1992-07-01,1294
31,1992-08-01,1254
32,1992-09-01,1396
33,1992-10-01,1353
34,1992-11-01,1376
35,1992-12-01,1295
36,1993-01-01,1142
37,1993-02-01,1138
38,1993-03-01,1113
39,1993-04-01,1055
40,1993-05-01,1149
41,1993-06-01,1223
42,1993-07-01,1431
43,1993-08-01,1488
44,1993-09-01,1740
45,1993-10-01,1823
46,1993-11-01,2526
47,1993-12-01,2288
48,1994-01-01,2674
49,1994-02-01,2535
50,1994-03-01,2791
51,1994-04-01,2425
52,1994-05-01,1905
53,1994-06-01,2158
54,1994-07-01,2153
55,1994-08-01,2049
56,1994-09-01,1838
57,1994-10-01,1778
58,1994-11-01,1827
59,1994-12-01,2240
60,1995-01-01,2095
61,1995-02-01,1509
62,1995-03-01,1813
63,1995-04-01,1641
64,1995-05-01,1680
65,1995-06-01,1911
66,1995-07-01,2324
67,1995-08-01,2483
68,1995-09-01,2554
69,1995-10-01,3025
70,1995-11-01,3164
71,1995-12-01,3090
72,1996-01-01,3304
73,1996-02-01,2313
74,1996-03-01,2961
75,1996-04-01,2518
76,1996-05-01,2812
77,1996-06-01,2928
78,1996-07-01,3095
79,1996-08-01,3073
80,1996-09-01,2818
81,1996-10-01,3501
82,1996-11-01,2817
83,1996-12-01,2779
84,1997-01-01,2540
85,1997-02-01,2186
86,1997-03-01,2654
87,1997-04-01,2871
88,1997-05-01,3217
89,1997-06-01,2808
90,1997-07-01,2906
91,1997-08-01,2556
92,1997-09-01,2399
93,1997-10-01,2738
94,1997-11-01,2176
95,1997-12-01,2708
96,1998-01-01,2932
97,1998-02-01,3490
98,1998-03-01,3695
99,1998-04-01,3905
100,1998-05-01,3729
101,1998-06-01,4053
102,1998-07-01,4397
103,1998-08-01,4444
104,1998-09-01,4760
105,1998-10-01,5709
106,1998-11-01,4993
107,1998-12-01,4988
108,1999-01-01,4802
109,1999-02-01,4834
110,1999-03-01,6465
111,1999-04-01,5698
112,1999-05-01,5671
113,1999-06-01,5861
114,1999-07-01,5493
115,1999-08-01,5209
116,1999-09-01,3796
117,1999-10-01,3783
118,1999-11-01,3358
119,1999-12-01,2812
120,2000-01-01,2386
121,2000-02-01,2313
122,2000-03-01,2467
123,2000-04-01,2548
124,2000-05-01,3230
125,2000-06-01,3283
126,2000-07-01,2988
127,2000-08-01,3166
128,2000-09-01,3088
129,2000-10-01,3231
130,2000-11-01,3324
131,2000-12-01,2838
132,2001-01-01,2790
133,2001-02-01,2885
134,2001-03-01,3147
135,2001-04-01,3092
136,2001-05-01,3106
137,2001-06-01,3329
138,2001-07-01,3398
139,2001-08-01,3244
140,2001-09-01,3220
141,2001-10-01,3490
142,2001-11-01,3349
143,2001-12-01,3005
144,2002-01-01,3385
145,2002-02-01,2633
146,2002-03-01,3115
147,2002-04-01,3300
148,2002-05-01,3298
149,2002-06-01,2836
150,2002-07-01,3282
151,2002-08-01,2829
152,2002-09-01,2749
153,2002-10-01,3156
154,2002-11-01,2831
155,2002-12-01,2684
156,2003-01-01,2705
157,2003-02-01,1858
158,2003-03-01,2270
159,2003-04-01,2160
160,2003-05-01,2272
161,2003-06-01,2162
162,2003-07-01,2273
163,2003-08-01,2195
164,2003-09-01,2423
165,2003-10-01,2849
166,2003-11-01,2801
