Year,Fertility Rate
1960-01-01,5.76
1961-01-01,5.41
1962-01-01,5.21
1963-01-01,5.16
1964-01-01,4.97
1965-01-01,4.66
1966-01-01,4.46
1967-01-01,3.91
1968-01-01,3.53
1969-01-01,3.22
1970-01-01,3.07
1971-01-01,3.02
1972-01-01,3.04
1973-01-01,2.79
1974-01-01,2.35
1975-01-01,2.07
1976-01-01,2.11
1977-01-01,1.82
1978-01-01,1.79
1979-01-01,1.79
1980-01-01,1.82
1981-01-01,1.78
1982-01-01,1.74
1983-01-01,1.61
1984-01-01,1.62
1985-01-01,1.61
1986-01-01,1.43
1987-01-01,1.62
1988-01-01,1.96
1989-01-01,1.75
1990-01-01,1.83
1991-01-01,1.73
1992-01-01,1.72
1993-01-01,1.74
1994-01-01,1.71
1995-01-01,1.67
1996-01-01,1.66
1997-01-01,1.61
1998-01-01,1.48
1999-01-01,1.47
2000-01-01,1.6
2001-01-01,1.41
2002-01-01,1.37
2003-01-01,1.27
2004-01-01,1.26
2005-01-01,1.26
2006-01-01,1.28
2007-01-01,1.29
2008-01-01,1.28
2009-01-01,1.22
2010-01-01,1.15
2011-01-01,1.2
2012-01-01,1.29
2013-01-01,1.19
2014-01-01,1.25
2015-01-01,1.24
2016-01-01,1.2
2017-01-01,1.16
2018-01-01,1.14
2019-01-01,1.14
2020-01-01,1.1
2021-01-01,1.12
2022-01-01,1.05
