,,,,,,,,,,,,,,,,,,,,,,,
Theme: Households,,,,,,,,,,,,,,,,,,,,,,,
Subject: Household Income,,,,,,,,,,,,,,,,,,,,,,,
Topic: Key Indicators On Household Income From Work,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Key Indicators On Household Income From Work Among Resident Employed Households, Annual",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 09/02/2023,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Median Monthly Household Income From Work Including Employer CPF Contributions (Dollar),10099,9520,9189,9425,9293,9023,8846,8666,8292,7872,7566,7037,6342,6006,6100,5362,4952,4831,4552,4612,4590,4716,4398
Real Change In Median Monthly Household Income From Work Including Employer CPF Contributions (Per Cent),0.2,1.5,-2.4,1,2.6,1.5,2.6,4.9,4.1,1.6,2.7,5.6,2.8,-2.4,6.8,6.1,1.5,5.5,-2.8,-0.1,-2.4,6.8,na
Median Monthly Household Income From Work Per Household Member (Including Employer CPF Contributions) (Dollar),3287,3027,2886,2925,2792,2699,2584,2500,2380,2247,2127,1994,1848,1735,1754,1547,1447,1392,1331,1335,1320,1352,1236
Real Change In Median Monthly Household Income From Work Per Household Member (Including Employer CPF Contributions) (Per Cent),2.6,2.8,-1.2,4.3,3,3.9,3.8,5.4,4.7,3.2,1.9,2.7,3.7,-1.9,6.4,4.8,2.9,4,-1.8,0.6,-2.1,8.9,na
Monthly Household Income From Work Per Household Member (Including Employer CPF Contributions) At 20th Percentile (Dollar),1623,1498,1396,1415,1359,1311,1280,1242,1167,1083,1020,971,889,824,832,747,702,666,652,640,638,660,628
Real Change In Monthly Household Income From Work Per Household Member (Including Employer CPF Contributions) At 20th Percentile (Per Cent),3.2,5.5,-1.3,3.8,3.4,2.5,4.2,7.6,6.1,3.4,-0.5,4.4,5.3,-3,3.3,4.3,3.5,0.8,-0.4,-0.8,-3.1,3.8,na
Average Monthly Household Income From Work Per Household Member (Including Employer CPF Contributions) (Dollar),4478,4166,4022,4115,3969,3835,3688,3624,3418,3204,3142,2925,2709,2524,2586,2337,2127,2013,1916,1909,1883,1925,1735
  1st Decile (Lowest) (Dollar),689,596,560,597,570,554,543,541,494,463,440,422,381,357,365,335,317,297,300,301,303,317,315
  2nd Decile (Dollar),1347,1224,1141,1179,1124,1093,1064,1040,971,896,856,803,738,682,689,620,585,556,541,542,538,556,537
  3rd Decile (Dollar),1864,1712,1609,1647,1583,1528,1483,1446,1353,1268,1200,1122,1036,957,973,865,817,775,756,745,745,760,720
  4th Decile (Dollar),2400,2211,2085,2131,2033,1958,1892,1857,1747,1633,1547,1445,1341,1242,1266,1115,1047,1003,967,959,956,974,911
  5th Decile (Dollar),2976,2749,2603,2647,2522,2434,2339,2274,2155,2033,1917,1794,1668,1564,1581,1395,1302,1252,1198,1202,1191,1216,1119
  6th Decile (Dollar),3634,3347,3201,3250,3082,2994,2864,2780,2627,2483,2355,2207,2051,1929,1954,1727,1609,1549,1477,1486,1469,1503,1366
  7th Decile (Dollar),4447,4111,3940,4036,3804,3670,3521,3409,3217,3039,2893,2726,2540,2393,2446,2163,1991,1921,1828,1842,1818,1860,1669
  8th Decile (Dollar),5578,5144,4972,5080,4833,4629,4438,4276,4060,3837,3658,3458,3232,3042,3122,2774,2548,2437,2315,2343,2304,2353,2093
  9th Decile (Dollar),7493,6944,6712,6843,6559,6279,5958,5804,5524,5192,5004,4727,4429,4130,4270,3806,3502,3333,3177,3181,3144,3207,2821
  10th Decile (Highest) (Dollar),14354,13626,13400,13737,13581,13215,12773,12816,12032,11198,11552,10543,9669,8945,9199,8571,7550,7004,6601,6488,6359,6508,5801
Real Change In Average Monthly Household Income From Work Per Household Member (Including Employer CPF Contributions) (Per Cent),1.3,1.2,-2.1,3.1,3,3.4,2.3,6.6,5.6,-0.4,2.7,2.6,4.4,-3,3.8,7.6,4.7,4.6,-1.3,0.9,-1.8,9.8,na
  1st Decile (Lowest) (Per Cent),10.1,4.7,-6.1,4.4,2.7,2.1,1.4,10.7,5.1,2.4,-1.2,5.8,4.2,-4.2,1.1,3.6,4.8,-2.3,-2.5,-1.7,-4.2,-0.6,na
  2nd Decile (Per Cent),4.8,5.5,-3.2,4.6,2.6,2.8,3.4,8.3,6.7,1.9,1,4,5.6,-3.1,3.1,3.9,3.4,1.5,-2.4,-0.3,-3,2.2,na
  3rd Decile (Per Cent),2.9,4.3,-2.2,3.6,3.2,2.5,3,7.2,5.5,3.2,2.2,3.1,5.4,-2.5,5.6,3.8,4.3,1.9,0,-0.6,-1.7,5.1,na
  4th Decile (Per Cent),2.5,3.9,-2,4.3,3.4,3,2.4,6.7,5.8,3.1,2.3,2.6,5.1,-2.7,6.6,4.4,3.3,3.1,-0.7,-0.3,-1.6,6.5,na
  5th Decile (Per Cent),2.3,3.5,-1.5,4.5,3.2,3.6,3.3,5.9,4.8,3.6,2.1,2.4,3.8,-1.9,6.4,5,2.9,3.9,-1.8,0.3,-1.8,8.2,na
